run_id,day30_burnout_count,peak_burnout_count_days_1_30,ever_burnout_count_days_1_30,severe_agent_days,persistent_burnout_3day_count,consecutive_burnout_2day_count,severe_stress_burden,day30_p90_stress,day30_p95_stress,day30_top10pct_mean_stress,days_1_30_p95_stress
0,0,1,1,5,1,1,3.4200763702411052,0.5009385451913033,0.3229809154022263,0.810596614145183,1.2899923563146842
1,0,1,1,4,1,1,4.152959266814179,0.8512072863188251,1.5180420578507636,1.1700310459929284,1.1057832085114683
2,0,0,0,0,0,0,0.41073137586224107,0.6148051137165567,0.3528459410491962,0.3000843829323543,0.09741400252805477
3,0,1,1,6,1,1,4.614548808525683,0.5445105596225375,0.9407097565730851,0.7730023731876372,1.298466133227052
4,0,0,0,0,0,0,0.4838252286090068,1.0484489820397442,0.6140425587759495,0.48510575528351296,0.7197903953224767
5,0,0,0,0,0,0,0.4461279742736224,0.2707003150237739,0.3094328325140481,0.7212342943674059,1.232926996528306
6,0,0,0,0,0,0,0.32657086780622535,0.5955562209925631,1.3862381960684615,1.0566805868594003,1.3659398147675432
7,0,1,0,12,1,1,17.398566488116188,0.3788724462782369,1.2746100883592533,0.96830450847402,0.9514758394914224
8,0,0,0,0,0,0,0.3833753150896797,0.568599574736723,0.7965919381389028,0.4179360805171086,0.9230363400051829
9,0,0,0,0,0,0,0.4637897738319765,0.4888685561175521,0.9976963557495964,1.2752107828161598,0.953314856908662
10,0,0,0,5,1,1,5.380155676404527,0.7174069449748686,0.23246480940609615,0.9752886715275224,0.8519114699532082
11,0,0,0,0,0,0,0.37622713215770887,0.4084859756763848,1.047046987613271,0.9027877360843917,1.4717180168691897
12,0,0,0,0,0,0,0.4710630641834541,0.22960605367006792,1.7506939286257364,0.5080021679813029,0.7416179391531585
13,0,0,0,0,0,0,0.33400679212491013,0.5019598628478121,1.2446974871022718,0.5265805263933174,0.38060150580346885
14,0,1,1,1,0,0,0.5327077690356674,0.9235428212492138,0.011054780292354849,0.2552013104370019,0.7504399667153621
15,0,0,0,0,0,0,0.3278498363475961,0.5467896350568537,2.6596374456138676,0.8403193193554159,1.111287705284596
16,0,0,0,0,0,0,0.4434320721830147,0.6234446759236079,1.3261983035902318,0.7709076307374545,1.020806842428584
17,0,1,1,7,1,1,4.846555606240315,0.41810248402684635,1.0763199198215148,1.2535654993167356,0.9214582023644624
18,0,0,0,0,0,0,0.4742885638189449,0.25276118182615903,0.01132557394714695,0.33413204481239234,0.9456427556172287
19,0,0,0,0,0,0,0.38980889255279294,1.080776957280861,1.0679596959381854,0.7902125583711523,0.7278443435007489
20,0,0,0,0,0,0,0.47076340156556284,0.6581017482356515,1.9814531619623352,1.2863635053383717,1.3573011686658134
21,0,0,0,0,0,0,0.3106548658194015,0.8919598487043743,1.1542026260415383,1.0302767622176816,1.2001018340787226
22,0,0,0,0,0,0,0.46179889049663814,0.7731810327020696,1.6370939338596031,1.5288974127289379,1.1060185107319995
23,0,0,0,0,0,0,0.32125213181807055,0.7560493201418836,2.505505157298444,0.940919702503777,1.3933173959697172
24,0,1,1,1,0,0,0.8916116919321411,0.21038069839386253,1.4874851232687405,1.4418963350178728,1.3083876089388013
25,0,0,0,0,0,0,0.3414567841981011,0.7950773875115402,0.5736240001535009,0.4366624244190831,0.886727436300589
26,0,1,1,9,1,1,17.010944747407166,2.005999116054113,1.8956789987375657,1.0111475012899405,2.0392198286463383
27,0,0,0,0,0,0,0.44820410947097855,0.10583010756896272,1.6984898134977442,0.4552831778985649,1.3881855439976079
28,0,0,0,0,0,0,0.46308451401232276,0.6791810837873697,1.15448380811317,0.7024330421391483,1.5659995252265162
29,0,0,0,0,0,0,0.13485205897175945,0.040150392245067223,0.8670170721621417,0.48611555088372427,0.6869607769318122
