run_id,seed,scenario,final_mean_stress,final_max_stress,final_mean_usage,burnout_count_day_30,peak_burnout_count,peak_stress,total_stress_auc
0,100,Baseline,36.0979006412156,76.77423450237282,292.31838874146655,0,194,100.0,1090559.2276051275
0,100,Intervention,32.47066050772822,75.71797208987947,275.83261838771347,0,194,100.0,1023154.8454607977
1,101,Baseline,35.928557644160584,75.91962114074542,290.1891442564211,0,194,100.0,1088994.8737795036
1,101,Intervention,32.27318123954807,74.01864781182981,273.8555688788274,0,194,100.0,1021256.085917923
2,102,Baseline,35.78122131967786,76.63541826038787,289.20298242680985,0,194,100.0,1081654.8611843577
2,102,Intervention,32.23035016513799,75.49976379400944,273.53180645452056,0,194,100.0,1016894.4088100998
3,103,Baseline,35.671555899750196,74.84212371173876,288.7906521834944,0,194,100.0,1085821.3451899602
3,103,Intervention,32.18566271594824,72.28133479104751,273.28989622274565,0,194,100.0,1019923.1601952953
4,104,Baseline,35.47355525784738,74.84678003481696,286.8673966546941,0,194,100.0,1071112.3991849124
4,104,Intervention,31.963575486631868,73.71095535077491,271.3332314069149,0,194,100.0,1006965.443761147
5,105,Baseline,35.7901416754433,75.32806653959221,289.27973712319124,0,194,100.0,1088110.5891203908
5,105,Intervention,32.22644355961146,73.14912957078586,273.2652891248294,0,194,100.0,1020709.2575969202
6,106,Baseline,36.182481108014066,75.82435692292378,292.74853983648444,0,194,100.0,1094048.919078215
6,106,Intervention,32.56723831804331,73.89670510698684,276.5493977315819,0,194,100.0,1027367.4686146744
7,107,Baseline,35.931194517809956,75.6466584693385,290.1455678398781,0,194,100.0,1085384.5910547888
7,107,Intervention,32.29068616011208,74.5590690209033,273.7126012311578,0,194,100.0,1018095.0781761108
8,108,Baseline,35.598919388776075,76.08473102731739,288.03846446611755,0,194,100.0,1076439.1011779727
8,108,Intervention,32.06167997385835,73.88325591053231,272.2157591911177,0,194,100.0,1011805.0774165058
9,109,Baseline,36.112796685988144,75.14599946816737,291.9564890858394,0,194,100.0,1090613.0316822096
9,109,Intervention,32.411094993991306,74.03371584868607,275.47037957374397,0,194,100.0,1022857.4304576861
